Município;UF;Pop. urb.;Reg.;Cod. nacional;ALGAR CELULAR S/A: Atende;ALGAR CELULAR S/A: Nº ERBs;CLARO S.A.: Atende;CLARO S.A.: Nº ERBs;NEXTEL TELECOMUNICACOES LTDA: Atende;NEXTEL TELECOMUNICACOES LTDA: Nº ERBs;OI MÓVEL S.A.: Atende;OI MÓVEL S.A.: Nº ERBs;SERCOMTEL CELULAR S.A.: Atende;SERCOMTEL CELULAR S.A.: Nº ERBs;TELEFÔNICA BRASIL S.A.: Atende;TELEFÔNICA BRASIL S.A.: Nº ERBs;TIM CELULAR S.A.: Atende;TIM CELULAR S.A.: Nº ERBs;TNL PCS S.A.: Atende;TNL PCS S.A.:Nº ERBs
 Engenheiro Navarro;MG;7345;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Entre Folhas;MG;5360;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Entre Rios de Minas;MG;14940;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Ervália;MG;18707;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Esmeraldas;MG;65224;I;31;Não;0;Sim;4;Não;0;Não;0;Não;0;Sim;7;Sim;7;Sim;8
 Espera Feliz;MG;24098;I;32;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Espinosa;MG;32081;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;4;Sim;1
 Espírito Santo do Dourado;MG;4625;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Estiva;MG;11285;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Estrela Dalva;MG;2496;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Estrela do Indaiá;MG;3602;I;37;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Estrela do Sul;MG;7804;I;34;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1
 Eugenópolis;MG;11042;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Ewbank da Câmara;MG;3901;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;2
 Extrema;MG;31693;I;35;Não;0;Sim;4;Não;0;Não;0;Não;0;Sim;3;Sim;2;Sim;3
 Fama;MG;2419;I;35;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Faria Lemos;MG;3423;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Felício dos Santos;MG;5157;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Felisburgo;MG;7236;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Felixlândia;MG;14864;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;4;Sim;1;Sim;1
 Fernandes Tourinho;MG;3232;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Ferros;MG;10807;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Não;0;Não;0
 Fervedouro;MG;10822;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Florestal;MG;7026;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Formiga;MG;67617;I;37;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;7;Sim;6;Sim;7
 Formoso;MG;8817;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Fortaleza de Minas;MG;4302;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Fortuna de Minas;MG;2850;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Francisco Badaró;MG;10542;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Francisco Dumont;MG;5098;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;0;Não;0;Não;0
 Francisco Sá;MG;25983;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Franciscópolis;MG;5825;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Frei Gaspar;MG;6033;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Frei Inocêncio;MG;9366;I;33;Não;0;Sim;0;Não;0;Não;0;Não;0;Sim;1;Sim;0;Não;0
 Frei Lagonegro;MG;3462;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Fronteira;MG;15658;I;34;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Fronteira dos Vales;MG;4777;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Fruta de Leite;MG;5919;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Frutal;MG;56720;I;34;Sim;16;Sim;5;Não;0;Não;0;Não;0;Sim;2;Sim;2;Sim;5
 Funilândia;MG;4108;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Galiléia;MG;7092;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Gameleiras;MG;5264;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Glaucilândia;MG;3097;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;0;Não;0;Não;0
 Goiabeira;MG;3226;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Goianá;MG;3849;I;32;Não;0;Sim;1;Sim;1;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Gonçalves;MG;4370;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Gonzaga;MG;6148;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Gouveia;MG;12030;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Governador Valadares;MG;275568;I;33;Não;0;Sim;18;Não;0;Não;0;Não;0;Sim;18;Sim;9;Sim;15
 Grão Mogol;MG;15667;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;2;Não;0;Não;0
 Grupiara;MG;1414;I;34;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Guanhães;MG;33020;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;2
 Guapé;MG;14349;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Guaraciaba;MG;10521;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Guaraciama;MG;4919;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Guaranésia;MG;19298;I;35;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;3;Sim;1;Sim;1
 Guarani;MG;8977;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Guarará;MG;3991;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Guarda-Mor;MG;6741;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;0;Não;0;Não;0
 Guaxupé;MG;51488;I;35;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;2;Sim;3;Sim;4
 Guidoval;MG;7356;I;32;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Guimarânia;MG;7693;I;34;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Guiricema;MG;8838;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Gurinhatã;MG;6144;I;34;Sim;5;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Heliodora;MG;6416;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Iapu;MG;10768;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Ibertioga;MG;5163;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Ibiá;MG;24435;I;34;Sim;4;Sim;3;Não;0;Não;0;Não;0;Sim;3;Sim;5;Sim;4
 Ibiaí;MG;8215;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;0;Não;0;Não;0
 Ibiracatu;MG;6250;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Ibiraci;MG;13006;I;35;Sim;4;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Ibirité;MG;169908;I;31;Não;0;Sim;5;Não;0;Não;0;Não;0;Sim;8;Sim;4;Sim;8
 Ibitiúra de Minas;MG;3503;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Ibituruna;MG;2979;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Icaraí de Minas;MG;11411;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Igarapé;MG;38285;I;31;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;5;Sim;2;Sim;2
 Igaratinga;MG;9997;I;37;Sim;4;Sim;2;Não;0;Não;0;Não;0;Sim;3;Sim;2;Sim;2
 Iguatama;MG;8213;I;37;Sim;2;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Ijaci;MG;6225;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Ilicínea;MG;12061;I;35;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Imbé de Minas;MG;6739;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Inconfidentes;MG;7217;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Indaiabira;MG;7528;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Indianópolis;MG;6568;I;34;Sim;4;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Ingaí;MG;2740;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Inhapim;MG;24882;I;33;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Inhaúma;MG;6068;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;2
 Inimutaba;MG;7297;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Ipaba;MG;17729;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Ipanema;MG;19165;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Ipatinga;MG;253098;I;31;Não;0;Sim;20;Não;0;Não;0;Não;0;Sim;15;Sim;10;Sim;27
 Ipiaçu;MG;4250;I;34;Sim;2;Não;0;Sim;1;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Ipuiúna;MG;9942;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Iraí de Minas;MG;6795;I;34;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Itabira;MG;115817;I;31;Não;0;Sim;4;Não;0;Não;0;Não;0;Sim;8;Sim;3;Sim;8
 Itabirinha;MG;11224;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Itabirito;MG;48614;I;31;Não;0;Sim;4;Não;0;Não;0;Não;0;Sim;6;Sim;4;Sim;11
 Itacambira;MG;5241;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;0;Não;0
 Itacarambi;MG;18316;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Itaguara;MG;12999;I;31;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;4;Sim;3;Sim;3
 Itaipé;MG;12403;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Itajubá;MG;94940;I;35;Não;0;Sim;5;Não;0;Não;0;Não;0;Sim;7;Sim;5;Sim;8
 Itamarandiba;MG;33804;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;3;Sim;1;Não;0
 Itamarati de Minas;MG;4270;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Itambacuri;MG;23528;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Itambé do Mato Dentro;MG;2281;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Itamogi;MG;10572;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Itamonte;MG;14855;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Itanhandu;MG;14902;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Itanhomi;MG;12280;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Itaobim;MG;21569;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Itapagipe;MG;14501;I;34;Sim;3;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Itapecerica;MG;22054;I;37;Sim;3;Sim;1;Não;0;Não;0;Não;0;Sim;6;Sim;2;Sim;2
 Itapeva;MG;9236;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Itatiaiuçu;MG;10563;I;31;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;3;Sim;3;Sim;2
 Itaú de Minas;MG;15694;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Itaúna;MG;90084;I;37;Sim;7;Sim;5;Não;0;Não;0;Não;0;Sim;9;Sim;3;Sim;5
 Itaverava;MG;5833;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Itinga;MG;14963;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Itueta;MG;6051;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Ituiutaba;MG;102020;I;34;Sim;23;Sim;8;Não;0;Não;0;Não;0;Sim;7;Sim;5;Sim;5
 Itumirim;MG;6263;I;35;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Iturama;MG;36837;I;34;Sim;8;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Sim;4
 Itutinga;MG;3976;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Jaboticatubas;MG;18508;I;31;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;4;Sim;3;Sim;3
 Jacinto;MG;12511;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Jacuí;MG;7755;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Jacutinga;MG;24354;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;2
 Jaguaraçu;MG;3112;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Jaíba;MG;36098;I;38;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;4;Sim;1
 Jampruca;MG;5303;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Janaúba;MG;70041;I;38;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;3;Sim;7;Sim;3
 Januária;MG;67875;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;2;Sim;2
 Japaraíba;MG;4168;I;37;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Japonvar;MG;8599;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Jeceaba;MG;5387;I;31;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Jenipapo de Minas;MG;7479;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Jequeri;MG;13041;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Jequitaí;MG;8069;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Não;0
 Jequitibá;MG;5307;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Jequitinhonha;MG;25150;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Não;0
 Jesuânia;MG;4899;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Joaíma;MG;15483;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Joanésia;MG;5305;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 João Monlevade;MG;77474;I;31;Não;0;Sim;5;Não;0;Não;0;Não;0;Sim;6;Sim;6;Sim;8
 João Pinheiro;MG;47549;I;38;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;5;Sim;2;Sim;2
 Joaquim Felício;MG;4538;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Jordânia;MG;10744;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 José Gonçalves de Minas;MG;4656;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 José Raydan;MG;4681;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Josenópolis;MG;4778;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Juatuba;MG;24255;I;31;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;4;Sim;5;Sim;2
 Juiz de Fora;MG;545942;I;32;Não;0;Sim;41;Sim;29;Não;0;Não;0;Sim;44;Sim;66;Sim;57
 Juramento;MG;4288;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Juruaia;MG;9887;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Juvenília;MG;5863;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Ladainha;MG;17782;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Lagamar;MG;7802;I;34;Sim;3;Sim;2;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;2
 Lagoa da Prata;MG;49089;I;37;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;3;Sim;3;Sim;2
 Lagoa dos Patos;MG;4298;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Lagoa Dourada;MG;12808;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Lagoa Formosa;MG;17885;I;34;Sim;2;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;2
 Lagoa Grande;MG;9134;I;34;Sim;3;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Lagoa Santa;MG;57589;I;31;Não;0;Sim;5;Não;0;Não;0;Não;0;Sim;10;Sim;4;Sim;9
 Lajinha;MG;20219;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Lambari;MG;20453;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;2
 Lamim;MG;3524;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Laranjal;MG;6740;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Lassance;MG;6663;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Lavras;MG;98172;I;35;Não;0;Sim;5;Não;0;Não;0;Não;0;Sim;7;Sim;6;Sim;7
 Leandro Ferreira;MG;3296;I;37;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Leme do Prado;MG;4965;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Leopoldina;MG;52915;I;32;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;5;Sim;3;Sim;4
 Liberdade;MG;5401;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Lima Duarte;MG;16740;I;32;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Limeira do Oeste;MG;7269;I;34;Sim;3;Não;0;Sim;1;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Lontra;MG;8821;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Luisburgo;MG;6407;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Luislândia;MG;6660;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;0;Não;0;Não;0
 Luminárias;MG;5571;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Luz;MG;18168;I;37;Sim;5;Sim;2;Não;0;Não;0;Não;0;Sim;4;Sim;2;Sim;2
 Machacalis;MG;7200;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Machado;MG;40760;I;35;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;4;Sim;1;Sim;4
 Madre de Deus de Minas;MG;5091;I;32;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Sim;1
 Malacacheta;MG;19228;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Mamonas;MG;6554;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;0;Não;0;Não;0
 Manga;MG;19898;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;2;Não;0
 Manhuaçu;MG;84934;I;33;Não;0;Sim;11;Não;0;Não;0;Não;0;Sim;3;Sim;2;Sim;5
 Manhumirim;MG;22348;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Mantena;MG;27983;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Mar de Espanha;MG;12384;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Maravilhas;MG;7600;I;37;Sim;3;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Maria da Fé;MG;14551;I;35;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Mariana;MG;57639;I;31;Não;0;Sim;9;Não;0;Não;0;Não;0;Sim;8;Sim;2;Sim;5
 Marilac;MG;4297;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Mário Campos;MG;14222;I;31;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Maripá de Minas;MG;2917;I;32;Não;0;Sim;1;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0
 Marliéria;MG;4125;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0
 Marmelópolis;MG;2979;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Martinho Campos;MG;13180;I;37;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Martins Soares;MG;7744;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Mata Verde;MG;8299;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;0;Sim;1
 Materlândia;MG;4673;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Mateus Leme;MG;29578;I;31;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;4;Sim;3;Sim;3
 Mathias Lobato;MG;3406;I;33;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Matias Barbosa;MG;14104;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;2;Não;0
 Matias Cardoso;MG;10608;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Matipó;MG;18491;I;31;Não;0;Sim;3;Não;0;Não;0;Não;0;Sim;2;Sim;1;Sim;1
 Mato Verde;MG;12947;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Matozinhos;MG;36031;I;31;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;4;Sim;1;Sim;3
 Matutina;MG;3856;I;34;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Medeiros;MG;3644;I;37;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Medina;MG;21513;I;33;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Mendes Pimentel;MG;6533;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1
 Mercês;MG;10753;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Mesquita;MG;6084;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Minas Novas;MG;31811;I;33;Não;0;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0
 Minduri;MG;3957;I;35;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Mirabela;MG;13552;I;38;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;2;Sim;1;Não;0
 Miradouro;MG;10674;I;32;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;1;Sim;1;Não;0
 Miraí;MG;14540;I;32;Não;0;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
 Miravânia;MG;4772;I;38;Não;0;Não;0;Não;0;Não;0;Não;0;Sim;0;Não;0;Não;0
 Moeda;MG;4883;I;31;Não;0;Sim;2;Não;0;Não;0;Não;0;Sim;1;Não;0;Não;0
 Moema;MG;7363;I;37;Sim;2;Sim;1;Não;0;Não;0;Não;0;Sim;1;Sim;1;Sim;1
